ticker,name,profile
1288.HK,Agricultural Bank of China,stable
3988.HK,Bank of China,stable
939.HK,China Construction Bank,stable
1398.HK,ICBC,stable
2628.HK,China Life,stable
883.HK,CNOOC,cyclical
2883.HK,China Oilfield Services,cyclical
857.HK,PetroChina,cyclical
386.HK,Sinopec Corp,cyclical
338.HK,Shanghai Petrochemical,no_dividend
1898.HK,China Coal,cyclical
1088.HK,China Shenhua,cyclical
941.HK,China Mobile,stable
728.HK,China Telecom,stable
38.HK,First Tractor,stable
177.HK,Jiangsu Expressway,stable
1211.HK,BYD,no_dividend
168.HK,Tsingtao Brewery,stable
874.HK,Guangzhou Baiyunshan,stable
981.HK,SMIC,no_dividend
