name_en,name_zh,h_ticker,a_ticker,sector,classification,owned,focus,weight,shares_held,ref_premium_jul2024,notes
China Life,中国人寿,2628.HK,601628.SS,Financials,Focus Holding,1,1,6.0,,88.0,
Bank of China,中国银行,3988.HK,601988.SS,Financials,Focus Holding,1,1,5.0,,45.0,
China Construction Bank,建设银行,939.HK,601939.SS,Financials,Focus Holding,1,1,5.0,,38.0,
ICBC,工商银行,1398.HK,601398.SS,Financials,Focus Holding,1,1,5.0,,32.0,
Ping An,中国平安,2318.HK,601318.SS,Financials,Focus Holding,1,1,4.0,,18.0,
Shanghai Petrochemical,上海石化,338.HK,600688.SS,Oil & Gas,Focus Holding,1,1,2.0,,120.0,
China Oilfield Services,中海油服,2883.HK,601808.SS,Oil & Gas,Focus Holding,1,1,2.0,,90.0,
CNOOC,中国海洋石油,883.HK,600938.SS,Oil & Gas,Focus Holding,1,1,4.0,,55.0,
PetroChina,中国石油,857.HK,601857.SS,Oil & Gas,Focus Holding,1,1,4.0,,60.0,
Sinopec Corp,中国石化,386.HK,600028.SS,Oil & Gas,Focus Holding,1,1,3.0,,50.0,
Yankuang Energy,兖矿能源,1171.HK,600188.SS,Mining & Materials,Focus Holding,1,1,2.0,,75.0,
China Coal,中煤能源,1898.HK,601898.SS,Mining & Materials,Focus Holding,1,1,2.0,,65.0,
China Shenhua,中国神华,1088.HK,601088.SS,Mining & Materials,Focus Holding,1,1,3.0,,30.0,
Zijin Mining,紫金矿业,2899.HK,601899.SS,Mining & Materials,Focus Holding,1,1,3.0,,25.0,
Jiangxi Copper,江西铜业,358.HK,600362.SS,Mining & Materials,Focus Holding,1,1,2.0,,70.0,
SMIC,中芯国际,981.HK,688981.SS,Technology,Focus Holding,1,1,3.0,,180.0,
First Tractor,第一拖拉机,38.HK,601038.SS,Industrials,Focus Holding,1,1,1.0,,150.0,
China Mobile,中国移动,941.HK,600941.SS,Telecom,Focus Holding,1,1,4.0,,40.0,
Jiangsu Expressway,江苏宁沪高速,177.HK,600377.SS,Industrials,Focus Holding,1,1,2.0,,35.0,
Tsingtao Brewery,青岛啤酒,168.HK,600600.SS,Consumer,Focus Holding,1,1,2.0,,55.0,
Guangzhou Baiyunshan,广州白云山,874.HK,600332.SS,Healthcare,Focus Holding,1,1,1.5,,80.0,
China Telecom,中国电信,728.HK,601728.SS,Telecom,Focus Holding,1,1,2.0,,90.0,
BYD,比亚迪,1211.HK,002594.SZ,Consumer,Focus Holding,1,1,3.0,,5.0,
CPIC,中国太保,2601.HK,601601.SS,Financials,Other Portfolio Holding,1,0,1.5,,35.0,
Weichai Power,潍柴动力,2338.HK,000338.SZ,Industrials,Other Portfolio Holding,1,0,1.0,,20.0,
China Merchants Bank,招商银行,3968.HK,600036.SS,Financials,Watchlist,0,0,,,10.0,
Anhui Conch,海螺水泥,914.HK,600585.SS,Mining & Materials,Watchlist,0,0,,,15.0,
Great Wall Motor,长城汽车,2333.HK,601633.SS,Consumer,Watchlist,0,0,,,110.0,
Agricultural Bank of China,农业银行,1288.HK,601288.SS,Financials,Other A-H Stock,0,0,,,,
CITIC Securities,中信证券,6030.HK,600030.SS,Financials,Other A-H Stock,0,0,,,,
Huatai Securities,华泰证券,6886.HK,601688.SS,Financials,Other A-H Stock,0,0,,,,
New China Life,新华保险,1336.HK,601336.SS,Financials,Other A-H Stock,0,0,,,,
Air China,中国国航,753.HK,601111.SS,Industrials,Other A-H Stock,0,0,,,,
China Railway Group,中国中铁,390.HK,601390.SS,Industrials,Other A-H Stock,0,0,,,,
China Railway Construction,中国铁建,1186.HK,601186.SS,Industrials,Other A-H Stock,0,0,,,,
COSCO Shipping,中远海控,1919.HK,601919.SS,Industrials,Other A-H Stock,0,0,,,,
ZTE,中兴通讯,763.HK,000063.SZ,Technology,Other A-H Stock,0,0,,,,
CGN Power,中国广核,1816.HK,003816.SZ,Industrials,Other A-H Stock,0,0,,,,
Shandong Gold,山东黄金,1787.HK,600547.SS,Mining & Materials,Other A-H Stock,0,0,,,,
Fosun Pharma,复星医药,2196.HK,600196.SS,Healthcare,Other A-H Stock,0,0,,,,
Livzon Pharma,丽珠集团,1513.HK,000513.SZ,Healthcare,Other A-H Stock,0,0,,,,
Sinotrans,中国外运,598.HK,601598.SS,Industrials,Other A-H Stock,0,0,,,,
GF Securities,广发证券,1776.HK,000776.SZ,Financials,Other A-H Stock,0,0,,,,
Dongfang Electric,东方电气,1072.HK,600875.SS,Industrials,Other A-H Stock,0,0,,,,
