h_ticker,name_en,sector
38.HK,First Tractor,Industrials
107.HK,Sichuan Expressway Company Limited,Industrials
168.HK,Tsingtao Brewery,Consumer
177.HK,Jiangsu Expressway,Industrials
187.HK,Beijing Jingcheng Machinery Electric Company Limited,Industrials
300.HK,"Midea Group Co., Ltd.",Consumer
317.HK,CSSC Offshore & Marine Engineering (Group) Company Limited,Industrials
323.HK,Maanshan Iron & Steel Company Limited,Mining & Materials
338.HK,Shanghai Petrochemical,Oil & Gas
347.HK,Angang Steel Company Limited,Mining & Materials
358.HK,Jiangxi Copper,Mining & Materials
386.HK,Sinopec Corp,Oil & Gas
390.HK,China Railway Group,Industrials
470.HK,WUXI LEAD,Industrials
501.HK,"OmniVision Integrated Circuits Group, Inc.",Technology
525.HK,Guangshen Railway Company Limited,Industrials
537.HK,RIGOL,Technology
548.HK,Shenzhen Expressway Corporation Limited,Industrials
553.HK,Nanjing Panda Electronics Company Limited,Technology
564.HK,ZCZL Industrial Technology Group Company Limited,Industrials
568.HK,Shandong Molong Petroleum Machinery Company Limited,Oil & Gas
588.HK,Beijing North Star Company Limited,Financials
598.HK,Sinotrans,Industrials
638.HK,Fibocom Wireless Inc.,Technology
668.HK,ANKER,Consumer
670.HK,China Eastern Airlines Corporation Limited,Industrials
699.HK,Ningbo Joyson Electronic Corp.,Consumer
719.HK,Shandong Xinhua Pharmaceutical Company Limited,Healthcare
728.HK,China Telecom,Telecom
753.HK,Air China,Industrials
763.HK,ZTE,Technology
811.HK,"Xinhua Winshare Publishing and Media Co., Ltd.",Consumer
857.HK,PetroChina,Oil & Gas
874.HK,Guangzhou Baiyunshan,Healthcare
883.HK,CNOOC,Oil & Gas
895.HK,Dongjiang Environmental Company Limited,Industrials
902.HK,"Huaneng Power International, Inc.",Industrials
914.HK,Anhui Conch,Mining & Materials
916.HK,China Longyuan Power Group Corporation Limited,Industrials
921.HK,"Hisense Home Appliances Group Co., Ltd.",Consumer
939.HK,China Construction Bank,Financials
941.HK,China Mobile,Telecom
956.HK,China Suntien Green Energy Corporation Limited,Industrials
981.HK,SMIC,Technology
991.HK,"Datang International Power Generation Co., Ltd.",Industrials
995.HK,Anhui Expressway Company Limited,Industrials
998.HK,China CITIC Bank Corporation Limited,Financials
1033.HK,Sinopec Oilfield Service Corporation,Oil & Gas
1053.HK,Chongqing Iron & Steel Company Limited,Mining & Materials
1055.HK,China Southern Airlines Company Limited,Industrials
1057.HK,Zhejiang Shibao Company Limited,Consumer
1065.HK,Tianjin Capital Environmental Protection Group Company Limited,Industrials
1071.HK,Huadian Power International Corporation Limited,Industrials
1072.HK,Dongfang Electric,Industrials
1081.HK,DAJIN,Industrials
1088.HK,China Shenhua,Mining & Materials
1108.HK,Triumph New Energy Company Limited,Mining & Materials
1138.HK,"COSCO SHIPPING Energy Transportation Co., Ltd.",Industrials
1157.HK,"Zoomlion Heavy Industry Science and Technology Co., Ltd.",Industrials
1171.HK,Yankuang Energy,Mining & Materials
1186.HK,China Railway Construction,Industrials
1187.HK,"Cofoe Medical Technology Co.,Ltd.",Healthcare
1211.HK,BYD,Consumer
1276.HK,"Jiangsu Hengrui Pharmaceuticals Co.,Ltd",Healthcare
1288.HK,Agricultural Bank of China,Financials
1304.HK,"Fortior Technology (Shenzhen) Co., Ltd.",Technology
1330.HK,"Dynagreen Environmental Protection Group Co., Ltd.",Industrials
1336.HK,New China Life,Financials
1339.HK,The People's Insurance Company (Group) of China Limited,Financials
1347.HK,Hua Hong Grace Semiconductor Limited,Technology
1349.HK,"Shanghai Fudan-Zhangjiang Bio-Pharmaceutical Co.,Ltd.",Healthcare
1375.HK,"Central China Securities Co., Ltd.",Financials
1377.HK,DTECH,Technology
1385.HK,Shanghai Fudan Microelectronics Group Company Limited,Technology
1398.HK,ICBC,Financials
1456.HK,"Guolian Minsheng Securities Co., Ltd.",Financials
1513.HK,Livzon Pharma,Healthcare
1528.HK,Red Star Macalline Group Corporation Ltd.,Consumer
1618.HK,Metallurgical Corporation of China Ltd.,Industrials
1635.HK,"Shanghai Dazhong Public Utilities(Group) Co.,Ltd.",Industrials
1658.HK,"Postal Savings Bank of China Co., Ltd.",Financials
1688.HK,Lingyi iTech (Guangdong) Company,Technology
1766.HK,CRRC Corporation Limited,Industrials
1772.HK,"Ganfeng Lithium Group Co., Ltd.",Mining & Materials
1776.HK,GF Securities,Financials
1787.HK,Shandong Gold,Mining & Materials
1800.HK,China Communications Construction Company Limited,Industrials
1812.HK,Shandong Chenming Paper Holdings Limited,Mining & Materials
1816.HK,CGN Power,Industrials
1858.HK,"Beijing Chunlizhengda Medical Instruments Co., Ltd.",Healthcare
1877.HK,"Shanghai Junshi Biosciences Co., Ltd.",Healthcare
1880.HK,China Tourism Group Duty Free Corporation Limited,Consumer
1898.HK,China Coal,Mining & Materials
1919.HK,COSCO Shipping,Industrials
1963.HK,"Bank of Chongqing Co., Ltd.",Financials
1988.HK,"China Minsheng Banking Corp., Ltd.",Financials
1989.HK,Delton Technology (Guangzhou) Inc.,Technology
2009.HK,BBMG Corporation,Mining & Materials
2016.HK,"China Zheshang Bank Co., Ltd",Financials
2039.HK,"China International Marine Containers (Group) Co., Ltd.",Industrials
2050.HK,"Zhejiang Sanhua Intelligent Controls Co.,Ltd",Industrials
